,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
44,3635,Bernardo Silva,34,2020,6,7.4203405529260635,7,6.312828656286001,52,51,5,0,F M S,Manchester City,6,7.4203405529260635,23.83779612928629,14.72735245898366
45,4422,Ashley Barnes,19,1386,6,6.516927354037762,0,0.3088205009698868,40,5,4,0,F S,Burnley,5,5.755758501589298,5.060966618359089,1.5740792136639357
46,6681,Harvey Barnes,36,2094,6,8.48061983473599,8,4.085434272885323,61,35,0,0,F M S,Leicester,6,8.48061983473599,17.09378569200635,6.487783459946513
47,6818,James Maddison,31,2632,6,5.0217749159783125,3,5.768516240641475,74,79,4,0,M S,Leicester,6,5.0217749159783125,14.379001699388027,8.763976752758026
48,7695,Todd Cantwell,37,2528,6,5.67504897993058,2,2.318530723452568,42,36,6,0,M S,Norwich,6,5.67504897993058,11.005102287046611,3.805257322266698
49,7722,Trézéguet,34,1955,6,5.345049157738686,1,0.958256496116519,50,21,2,1,F M S,Aston Villa,6,5.345049157738686,6.641214985400438,2.6114314906299114
50,617,David Silva,27,1846,5,6.93236867710948,10,7.6509875394403934,46,49,0,0,M S,Manchester City,5,6.93236867710948,24.68700398504734,12.764220461249352
51,620,Kelechi Iheanacho,20,976,5,5.901271570473909,3,2.588645750656724,36,15,1,0,F M S,Leicester,5,5.901271570473909,8.9800880625844,1.3327805418521166
52,833,Virgil van Dijk,38,3420,5,2.9578161910176277,1,1.1334363408386707,31,7,1,0,D,Liverpool,5,2.9578161910176277,15.309704806655645,14.673714911565185
53,843,James Ward-Prowse,38,3420,5,7.061390930786729,3,5.7615474704653025,57,61,9,0,D M,Southampton,4,4.777884328737855,13.29220021981746,9.146257374435663
54,1691,Robert Snodgrass,24,1522,5,2.3865075511857867,5,3.732901037670672,21,33,4,0,F M S,West Ham,5,2.3865075511857867,6.512247741222382,3.524154720827937
55,5656,Nicolas Pepe,31,2021,5,5.069305270910263,5,4.904219791293144,50,39,4,0,F M S,Arsenal,4,4.308136463165283,10.924230057746172,4.814494099467993
56,5675,Ismaila Sarr,28,2038,5,5.96819850243628,4,4.351109144277871,43,25,1,0,F M S,Watford,5,5.96819850243628,11.652336601167917,3.3667894434183836
57,6055,Phil Foden,23,888,5,3.5568296778947115,2,1.559080382809043,34,18,0,0,F M S,Manchester City,5,3.5568296778947115,9.37216493114829,5.848771423101425
58,6274,Andriy Yarmolenko,23,979,5,2.6255949772894382,1,3.426018500700593,26,19,2,0,M S,West Ham,5,2.6255949772894382,6.919684391468763,1.9625784363597631
59,6893,Stuart Armstrong,30,1711,5,3.1144408900290728,3,2.0096526043489575,46,18,4,0,D M S,Southampton,5,3.1144408900290728,7.9727021176368,3.8451918475329876
60,7698,Leandro Trossard,31,2018,5,5.35430202446878,3,4.625110670924187,41,42,0,0,F M S,Brighton,5,5.35430202446878,12.011704009026289,4.779169330373406
61,7708,John Lundstram,34,2448,5,5.921482932753861,3,3.8296403661370277,44,21,5,0,M S,Sheffield United,5,5.921482932753861,12.008114026859403,5.026100654155016
62,7709,John Fleck,30,2513,5,3.248101874254644,2,3.429328950121999,31,39,8,0,M S,Sheffield United,5,3.248101874254644,10.274544572457671,5.32346470374614
63,7724,Wesley,21,1806,5,7.270558223128319,1,0.8836160395294428,36,11,3,0,F,Aston Villa,5,6.509389266371727,8.00793587975204,2.6747646359726787
64,484,Divock Origi,28,680,4,2.0965603087097406,1,0.8253554403781891,14,8,1,0,F S,Liverpool,4,2.0965603087097406,3.5364457424730062,0.8342474475502968
65,522,Wilfried Zaha,38,3276,4,4.932660914957523,3,3.7442309176549315,61,37,5,0,F M S,Crystal Palace,4,4.932660914957523,11.829811396077275,4.589509509503841
66,533,Mark Noble,33,2709,4,2.773826020769775,3,3.1814721887931228,17,44,5,0,M S,West Ham,1,0.49031952302902937,10.037942433729768,7.929711478762329
67,591,Gerard Deulofeu,28,2137,4,6.213232520967722,5,4.786341346800327,63,43,4,0,F M S,Watford,3,5.452063657343388,11.513658057898283,3.6732959151268005
68,605,Jordan Henderson,30,2254,4,1.1846888158470392,5,4.108062040060759,20,27,2,0,M S,Liverpool,4,1.1846888158470392,15.858563289046288,12.152118895202875
69,743,Dwight Gayle,20,856,4,4.6395000368356705,2,0.8900679210200906,23,6,2,0,F S,Newcastle United,4,4.6395000368356705,5.124921843409538,1.8412650860846043
70,771,Georginio Wijnaldum,37,2980,4,2.651081571355462,0,0.8085457179695368,36,18,0,0,M S,Liverpool,4,2.651081571355462,13.478653196245432,10.85671390965581
71,790,Nathan Redmond,32,2781,4,5.287322388961911,4,3.624410872347653,59,38,2,0,F M,Southampton,4,5.287322388961911,13.67461494076997,6.087857705540955
72,900,Adama Traoré,37,2596,4,3.7073373962193727,9,7.551031334325671,43,49,1,0,D F M S,Wolverhampton Wanderers,4,3.7073373962193727,15.272295154631138,5.655398900620639
73,966,Alex Oxlade-Chamberlain,30,1511,4,2.5044675059616566,1,0.9436887409538031,40,17,1,0,F M S,Liverpool,4,2.5044675059616566,5.693251250311732,2.648965669795871
74,1389,Jorginho,31,2391,4,3.097004123032093,2,2.916516068391502,12,23,10,0,M S,Chelsea,1,0.8134975954890251,15.918048471212387,14.992466654628515
75,1621,Marcos Alonso,18,1436,4,2.5468264957889915,2,2.9914873391389847,30,25,4,0,D S,Chelsea,4,2.5468264957889915,10.606778636574745,7.1116813570261
76,1726,Abdoulaye Doucouré,37,3189,4,5.280909616500139,2,4.084617623127997,61,38,8,0,M S,Watford,4,5.280909616500139,13.540454076603055,7.193617694079876
77,1791,Trent Alexander-Arnold,38,3183,4,3.0844607949256897,13,11.166966449469328,45,86,5,0,D S,Liverpool,4,3.0844607949256897,20.63668834604323,13.597049359232187
78,3293,Lucas Moura,35,2261,4,5.58206464163959,4,3.2798846065998077,56,35,3,0,F M S,Tottenham,4,5.58206464163959,10.088381383568048,3.17877896502614
79,5612,Anwar El Ghazi,34,2082,4,6.381360174156725,4,2.8772015031427145,53,30,3,0,F M S,Aston Villa,3,5.620191336609423,8.016558893024921,2.2102841325104237
80,6852,Matt Doherty,36,2842,4,6.484134657308459,3,2.127985888160765,34,21,1,0,D M S,Wolverhampton Wanderers,4,6.484134657308459,14.165048303082585,7.6632969956845045
81,7236,Leander Dendoncker,38,2793,4,2.6380439000204206,0,0.7169408379122615,20,9,5,0,D M S,Wolverhampton Wanderers,4,2.6380439000204206,9.559081248007715,8.402882419526577
82,7420,Miguel Almirón,36,3063,4,7.755137665197253,2,2.9012294206768274,55,31,5,0,F M S,Newcastle United,4,7.755137665197253,13.875709598883986,3.9898445047438145
83,7700,Che Adams,30,1096,4,5.865681562572718,2,1.9888088637962937,36,13,0,0,F S,Southampton,4,5.865681562572718,7.280021018348634,1.2057215720415115
84,101,Allan Saint-Maximin,26,1896,3,2.9425169471651316,4,4.3318116925656796,46,33,0,0,F M S,Newcastle United,3,2.9425169471651316,9.657795261591673,4.271792184561491
85,462,Dan Gosling,24,1255,3,2.9298638608306646,1,1.3691747784614563,13,10,3,0,M S,Bournemouth,3,2.9298638608306646,3.7870469707995653,1.4419021494686604
86,463,Junior Stanislas,15,706,3,1.8708654893562198,0,0.9225292792543769,17,12,1,0,D M S,Bournemouth,2,1.1096966369077563,2.2527448488399386,1.580289775505662
87,534,Aaron Cresswell,31,2739,3,1.0325381252914667,0,3.006656665354967,18,26,7,0,D,West Ham,3,1.0325381252914667,6.834942104294896,4.89146363735199
88,730,Patrick van Aanholt,29,2517,3,2.0403428077697754,2,3.5544371623545885,27,32,0,0,D,Crystal Palace,2,1.2791739702224731,5.900496690534055,4.3872483698651195
89,751,N&#039;Golo Kanté,22,1733,3,1.5439129555597901,0,1.5202719774097204,18,27,4,0,M S,Chelsea,3,1.5439129555597901,7.209238461218774,4.837984517216682
90,757,Jeffrey Schlupp,17,1035,3,2.1849748892709613,1,0.9487967370077968,18,7,2,0,D F M S,Crystal Palace,3,2.1849748892709613,3.2428497234359384,1.12852843105793
91,782,Ben Chilwell,27,2382,3,1.0977275781333447,3,3.5355270877480507,16,33,3,0,D M,Leicester,3,1.0977275781333447,10.088156981393695,8.04045776091516
92,1679,Dominic Solanke,32,1617,3,4.439334521070123,1,1.0535619901493192,32,15,1,0,F M S,Bournemouth,3,4.439334521070123,6.863944223150611,2.417156931012869
93,1723,Roberto Pereyra,28,1656,3,3.1468859259039164,0,1.3600244047120214,21,20,4,0,F M S,Watford,2,2.3857170585542917,4.776893117465079,1.6259918306022882
94,2496,Rodri,35,2488,3,0.7440791316330433,2,2.9102930314838886,24,33,8,0,D M S,Manchester City,3,0.7440791316330433,22.69725015386939,21.217174431309104
95,3203,Issa Diop,32,2767,3,1.7952629122883081,1,1.8284027930349112,16,5,8,0,D S,West Ham,3,1.7952629122883081,3.843444647267461,3.6186532843858004
96,3303,Ricardo Pereira,28,2520,3,1.2652331655845046,2,4.018951584585011,18,27,1,0,D M,Leicester,3,1.2652331655845046,11.059817846864462,8.115902204066515
97,5549,Luka Milivojevic,31,2519,3,2.4957156693562865,1,1.7364521408453584,31,29,12,0,M S,Crystal Palace,1,0.973377994261682,4.5046228766441345,3.986329460516572
98,5560,Scott McTominay,27,1771,3,2.0219828691333532,1,1.4312139973044395,29,16,2,0,M S,Manchester United,3,2.0219828691333532,5.719030223786831,4.453569738194346
99,5595,Daniel James,33,2291,3,3.603131093084812,6,4.264184528961778,42,26,4,0,F M S,Manchester United,3,3.603131093084812,11.158989392220974,5.398974547162652
100,5956,Youri Tielemans,37,2849,3,2.7923809867352247,6,5.186099678277969,56,53,2,0,M S,Leicester,3,2.7923809867352247,17.103863075375557,11.131553751416504
101,6048,Lewis Dunk,36,3233,3,3.7192777395248413,3,1.2634232500568032,31,14,9,0,D,Brighton,3,3.7192777395248413,8.553321623243392,8.34768174868077
102,6122,Douglas Luiz,36,2602,3,2.277795437723398,2,2.004114666953683,38,17,8,0,M S,Aston Villa,3,2.277795437723398,5.569815007969737,3.3965176343917847
103,6382,Pedro Neto,29,911,3,1.8934477604925632,3,2.6262175496667624,17,14,3,0,F M S,Wolverhampton Wanderers,3,1.8934477604925632,7.689651545137167,4.652863252907991
104,6504,Michael Obafemi,21,654,3,2.154612448066473,2,1.2253467291593552,12,10,1,0,F S,Southampton,3,2.154612448066473,2.8837932106107473,0.5151654873043299
